index,order_requests,city_x,date,language,mobile,avatar_id,hotel_id,stock,group,brand,parking,pool,children_policy
110,12,2,16,1.0,0,5,297,22,1,2,1,1,0
111,12,2,16,1.0,0,5,351,7,0,0,0,0,0
112,12,2,16,1.0,0,5,370,11,3,3,0,0,0
113,12,2,16,1.0,0,5,737,40,1,2,0,0,0
114,12,2,16,1.0,0,5,845,24,1,3,0,0,0
115,12,2,16,1.0,0,5,915,8,1,3,1,0,0
116,12,2,16,1.0,0,5,939,22,1,3,1,1,0
117,13,2,1,,1,5,131,1,1,3,1,1,0
118,13,2,1,,1,5,258,1,1,3,0,0,1
119,13,2,1,,1,5,265,6,1,3,0,1,0
120,13,2,1,,1,5,370,4,3,3,0,0,0
121,13,2,1,,1,5,418,0,2,1,1,0,0
122,13,2,1,,1,5,454,0,2,1,1,0,0
123,13,2,1,,1,5,609,1,1,1,1,0,0
124,13,2,1,,1,5,673,1,3,3,0,0,0
125,13,2,1,,1,5,710,0,1,2,0,0,0
126,13,2,1,,1,5,836,1,3,3,1,0,0
127,13,2,1,,1,5,915,0,1,3,1,0,0
128,14,6,15,1.0,1,6,81,14,2,1,0,0,0
129,14,6,15,1.0,1,6,282,14,3,2,0,0,0
130,15,6,5,1.0,0,6,160,2,0,0,1,0,0
131,15,6,5,1.0,0,6,389,0,1,2,0,0,0
132,15,6,5,1.0,0,6,491,4,1,3,0,0,0
133,15,6,5,1.0,0,6,754,6,1,3,1,0,0
134,16,6,0,1.0,1,6,160,0,0,0,1,0,0
135,16,6,0,1.0,1,6,389,0,1,2,0,0,0
136,16,6,0,1.0,1,6,491,0,1,3,0,0,0
137,16,6,0,1.0,1,6,754,0,1,3,1,0,0
138,17,6,38,7.0,1,7,106,96,1,1,1,0,0
139,17,6,38,7.0,1,7,134,39,3,3,1,0,0
140,17,6,38,7.0,1,7,209,96,0,0,1,0,0
141,18,6,35,7.0,1,7,106,79,1,1,1,0,0
142,18,6,35,7.0,1,7,134,31,3,3,1,0,0
143,18,6,35,7.0,1,7,209,78,0,0,1,0,0
144,19,0,35,5.0,0,8,30,68,1,2,1,0,0
145,19,0,35,5.0,0,8,83,75,3,2,0,0,0
146,19,0,35,5.0,0,8,169,38,1,3,0,0,0
147,19,0,35,5.0,0,8,283,63,0,0,1,0,0
148,19,0,35,5.0,0,8,482,32,1,3,1,0,0
149,19,0,35,5.0,0,8,507,54,2,1,0,0,0
150,19,0,35,5.0,0,8,674,58,1,2,0,0,0
151,19,0,35,5.0,0,8,679,79,1,1,1,0,0
152,19,0,35,5.0,0,8,788,76,0,0,1,0,0
153,19,0,35,5.0,0,8,867,64,0,0,1,0,0
154,20,0,20,5.0,0,8,22,19,3,2,1,0,0
155,20,0,20,5.0,0,8,30,24,1,2,1,0,0
156,20,0,20,5.0,0,8,140,15,2,1,0,0,0
157,20,0,20,5.0,0,8,169,16,1,3,0,0,0
158,20,0,20,5.0,0,8,410,16,1,2,0,0,0
159,20,0,20,5.0,0,8,441,28,3,3,0,0,0
160,20,0,20,5.0,0,8,455,22,3,2,0,0,0
161,20,0,20,5.0,0,8,529,48,1,3,1,0,1
162,20,0,20,5.0,0,8,591,46,1,3,0,0,0
163,20,0,20,5.0,0,8,658,22,1,2,1,0,0
164,20,0,20,5.0,0,8,715,20,3,2,0,0,0
165,21,0,18,6.0,0,8,22,16,3,2,1,0,0
166,21,0,18,6.0,0,8,30,19,1,2,1,0,0
167,21,0,18,6.0,0,8,140,12,2,1,0,0,0
168,21,0,18,6.0,0,8,169,13,1,3,0,0,0
169,21,0,18,6.0,0,8,410,14,1,2,0,0,0
170,21,0,18,6.0,0,8,441,25,3,3,0,0,0
171,21,0,18,6.0,0,8,455,18,3,2,0,0,0
172,21,0,18,6.0,0,8,529,37,1,3,1,0,1
173,21,0,18,6.0,0,8,591,38,1,3,0,0,0
174,21,0,18,6.0,0,8,658,18,1,2,1,0,0
175,21,0,18,6.0,0,8,715,18,3,2,0,0,0
176,22,3,19,6.0,1,9,71,35,1,3,1,1,1
177,22,3,19,6.0,1,9,162,48,1,3,1,1,0
178,22,3,19,6.0,1,9,222,35,1,3,1,0,0
179,22,3,19,6.0,1,9,359,17,1,2,0,0,0
180,22,3,19,6.0,1,9,449,26,3,3,1,0,0
181,22,3,19,6.0,1,9,579,11,1,3,0,0,0
182,22,3,19,6.0,1,9,731,17,2,1,1,0,0
183,22,3,19,6.0,1,9,827,6,3,3,1,0,0
184,22,3,19,6.0,1,9,837,43,1,3,1,1,0
185,22,3,19,6.0,1,9,853,19,1,1,1,0,0
186,22,3,19,6.0,1,9,866,35,1,3,1,1,0
187,23,3,17,6.0,1,9,71,29,1,3,1,1,1
188,23,3,17,6.0,1,9,162,38,1,3,1,1,0
189,23,3,17,6.0,1,9,222,29,1,3,1,0,0
190,23,3,17,6.0,1,9,359,14,1,2,0,0,0
191,23,3,17,6.0,1,9,449,23,3,3,1,0,0
192,23,3,17,6.0,1,9,579,9,1,3,0,0,0
193,23,3,17,6.0,1,9,731,12,2,1,1,0,0
194,23,3,17,6.0,1,9,827,2,3,3,1,0,0
195,23,3,17,6.0,1,9,837,32,1,3,1,1,0
196,23,3,17,6.0,1,9,853,17,1,1,1,0,0
197,23,3,17,6.0,1,9,866,26,1,3,1,1,0
198,24,3,16,6.0,0,9,71,27,1,3,1,1,1
199,24,3,16,6.0,0,9,162,32,1,3,1,1,0
200,24,3,16,6.0,0,9,222,26,1,3,1,0,0
201,24,3,16,6.0,0,9,359,13,1,2,0,0,0
202,24,3,16,6.0,0,9,449,22,3,3,1,0,0
203,24,3,16,6.0,0,9,579,7,1,3,0,0,0
204,24,3,16,6.0,0,9,731,10,2,1,1,0,0
205,24,3,16,6.0,0,9,827,1,3,3,1,0,0
206,24,3,16,6.0,0,9,837,27,1,3,1,1,0
207,24,3,16,6.0,0,9,853,16,1,1,1,0,0
208,24,3,16,6.0,0,9,866,21,1,3,1,1,0
209,25,3,18,5.0,0,10,71,32,1,3,1,1,1
210,25,3,18,5.0,0,10,162,43,1,3,1,1,0
211,25,3,18,5.0,0,10,222,32,1,3,1,0,0
212,25,3,18,5.0,0,10,359,15,1,2,0,0,0
213,25,3,18,5.0,0,10,449,24,3,3,1,0,0
214,25,3,18,5.0,0,10,579,10,1,3,0,0,0
215,25,3,18,5.0,0,10,731,14,2,1,1,0,0
216,25,3,18,5.0,0,10,827,4,3,3,1,0,0
217,25,3,18,5.0,0,10,837,37,1,3,1,1,0
218,25,3,18,5.0,0,10,853,18,1,1,1,0,0
219,25,3,18,5.0,0,10,866,30,1,3,1,1,0
220,26,3,2,6.0,0,10,0,2,3,3,1,0,1
221,26,3,2,6.0,0,10,17,1,1,3,0,0,0
222,26,3,2,6.0,0,10,56,1,3,3,1,1,0
223,26,3,2,6.0,0,10,71,2,1,3,1,1,1
224,26,3,2,6.0,0,10,162,3,1,3,1,1,0
225,26,3,2,6.0,0,10,323,2,1,2,1,1,0
226,26,3,2,6.0,0,10,415,1,2,1,1,0,0
227,26,3,2,6.0,0,10,421,1,2,1,0,0,0
228,26,3,2,6.0,0,10,526,2,1,3,0,0,0
229,26,3,2,6.0,0,10,540,3,1,3,1,1,0
230,26,3,2,6.0,0,10,582,1,3,3,0,1,0
231,26,3,2,6.0,0,10,827,0,3,3,1,0,0
232,27,1,38,5.0,0,11,43,99,0,0,1,0,0
233,27,1,38,5.0,0,11,194,40,0,0,0,0,0
234,27,1,38,5.0,0,11,249,102,0,0,0,0,0
235,27,1,38,5.0,0,11,744,98,2,1,0,0,0
236,27,1,38,5.0,0,11,830,78,0,0,0,0,0
237,27,1,38,5.0,0,11,951,81,0,0,1,0,0
238,27,1,38,5.0,0,11,952,37,0,0,0,0,0
239,27,1,38,5.0,0,11,981,41,3,3,0,0,0
240,27,1,38,5.0,0,11,995,132,1,1,0,0,0
241,28,1,35,5.0,1,11,43,84,0,0,1,0,0
242,28,1,35,5.0,1,11,194,32,0,0,0,0,0
243,28,1,35,5.0,1,11,249,90,0,0,0,0,0
244,28,1,35,5.0,1,11,744,80,2,1,0,0,0
245,28,1,35,5.0,1,11,830,64,0,0,0,0,0
246,28,1,35,5.0,1,11,951,67,0,0,1,0,0
247,28,1,35,5.0,1,11,952,31,0,0,0,0,0
248,28,1,35,5.0,1,11,981,31,3,3,0,0,0
249,28,1,35,5.0,1,11,995,106,1,1,0,0,0
250,29,1,18,1.0,0,11,367,11,3,3,0,0,0
251,29,1,18,1.0,0,11,720,30,1,2,0,0,2
252,29,1,18,1.0,0,11,831,8,0,0,1,0,0
253,29,1,18,1.0,0,11,855,23,3,3,0,0,0
254,30,8,20,6.0,1,12,161,44,2,1,1,0,0
255,30,8,20,6.0,1,12,187,29,1,2,1,1,0
256,30,8,20,6.0,1,12,279,10,0,0,1,0,0
257,30,8,20,6.0,1,12,395,9,1,3,0,0,0
258,30,8,20,6.0,1,12,488,36,1,3,1,1,1
259,30,8,20,6.0,1,12,811,41,2,1,1,0,0
260,30,8,20,6.0,1,12,935,8,3,3,0,0,0
261,30,8,20,6.0,1,12,954,25,1,1,1,0,0
262,30,8,20,6.0,1,12,974,22,1,1,1,0,0
263,31,8,18,6.0,1,12,161,36,2,1,1,0,0
264,31,8,18,6.0,1,12,187,24,1,2,1,1,0
265,31,8,18,6.0,1,12,279,8,0,0,1,0,0
266,31,8,18,6.0,1,12,395,7,1,3,0,0,0
267,31,8,18,6.0,1,12,488,27,1,3,1,1,1
268,31,8,18,6.0,1,12,811,34,2,1,1,0,0
269,31,8,18,6.0,1,12,935,7,3,3,0,0,0
270,31,8,18,6.0,1,12,954,20,1,1,1,0,0
271,31,8,18,6.0,1,12,974,18,1,1,1,0,0
272,32,8,16,6.0,0,12,161,30,2,1,1,0,0
273,32,8,16,6.0,0,12,187,20,1,2,1,1,0
274,32,8,16,6.0,0,12,279,6,0,0,1,0,0
275,32,8,16,6.0,0,12,395,5,1,3,0,0,0
276,32,8,16,6.0,0,12,488,18,1,3,1,1,1
277,32,8,16,6.0,0,12,811,28,2,1,1,0,0
278,32,8,16,6.0,0,12,935,5,3,3,0,0,0
279,32,8,16,6.0,0,12,954,16,1,1,1,0,0
280,32,8,16,6.0,0,12,974,16,1,1,1,0,0
281,33,8,4,6.0,1,12,395,0,1,3,0,0,0
282,33,8,4,6.0,1,12,488,4,1,3,1,1,1
283,33,8,4,6.0,1,12,811,0,2,1,1,0,0
284,34,4,16,7.0,0,13,73,18,3,3,0,0,1
285,34,4,16,7.0,0,13,114,16,2,1,1,0,0
286,34,4,16,7.0,0,13,191,16,3,2,1,0,0
287,34,4,16,7.0,0,13,281,8,2,1,1,0,0
288,34,4,16,7.0,0,13,286,12,1,2,0,0,0
289,34,4,16,7.0,0,13,677,22,1,2,0,0,0
290,34,4,16,7.0,0,13,843,21,1,3,0,0,0
291,34,4,16,7.0,0,13,987,9,1,3,1,0,0
292,35,4,15,7.0,0,13,73,15,3,3,0,0,1
293,35,4,15,7.0,0,13,114,15,2,1,1,0,0
294,35,4,15,7.0,0,13,191,14,3,2,1,0,0
295,35,4,15,7.0,0,13,281,7,2,1,1,0,0
296,35,4,15,7.0,0,13,286,11,1,2,0,0,0
297,35,4,15,7.0,0,13,677,20,1,2,0,0,0
298,35,4,15,7.0,0,13,843,19,1,3,0,0,0
299,35,4,15,7.0,0,13,987,8,1,3,1,0,0
300,36,4,6,7.0,1,13,46,6,1,3,0,0,0
301,36,4,6,7.0,1,13,321,6,1,3,0,0,0
302,36,4,6,7.0,1,13,399,6,1,1,1,1,0
303,36,4,6,7.0,1,13,423,6,1,3,0,0,0
304,36,4,6,7.0,1,13,440,3,2,1,1,0,0
305,36,4,6,7.0,1,13,489,7,1,3,0,1,0
306,36,4,6,7.0,1,13,702,8,1,1,0,1,0
307,36,4,6,7.0,1,13,787,2,2,1,0,0,0
308,36,4,6,7.0,1,13,987,1,1,3,1,0,0
309,37,5,21,5.0,1,14,262,20,2,1,1,0,0
310,37,5,21,5.0,1,14,764,12,0,0,0,0,0
311,37,5,21,5.0,1,14,799,12,3,3,1,0,0
312,37,5,21,5.0,1,14,871,28,3,2,0,0,0
313,37,5,21,5.0,1,14,899,21,1,2,0,0,0
314,38,5,20,5.0,1,14,262,19,2,1,1,0,0
315,38,5,20,5.0,1,14,764,10,0,0,0,0,0
316,38,5,20,5.0,1,14,799,11,3,3,1,0,0
317,38,5,20,5.0,1,14,871,24,3,2,0,0,0
318,38,5,20,5.0,1,14,899,20,1,2,0,0,0
319,39,5,15,5.0,0,14,262,12,2,1,1,0,0
320,39,5,15,5.0,0,14,764,2,0,0,0,0,0
321,39,5,15,5.0,0,14,799,6,3,3,1,0,0
322,39,5,15,5.0,0,14,871,9,3,2,0,0,0
323,39,5,15,5.0,0,14,899,15,1,2,0,0,0
324,40,3,35,8.0,0,15,71,159,1,3,1,1,1
325,40,3,35,8.0,0,15,238,82,2,1,1,0,0
326,40,3,35,8.0,0,15,301,60,0,0,0,0,0
327,40,3,35,8.0,0,15,305,80,1,2,1,0,0
328,40,3,35,8.0,0,15,449,108,3,3,1,0,0
329,40,3,35,8.0,0,15,474,74,1,1,0,0,0
330,40,3,35,8.0,0,15,484,60,2,1,0,0,0
331,40,3,35,8.0,0,15,509,30,0,0,0,0,0
332,40,3,35,8.0,0,15,647,58,2,1,1,0,0
333,40,3,35,8.0,0,15,827,32,3,3,1,0,0
334,40,3,35,8.0,0,15,992,32,1,3,0,0,0
335,41,1,34,8.0,1,15,43,78,0,0,1,0,0
336,41,1,34,8.0,1,15,194,30,0,0,0,0,0
337,41,1,34,8.0,1,15,249,86,0,0,0,0,0
338,41,1,34,8.0,1,15,744,74,2,1,0,0,0
339,41,1,34,8.0,1,15,830,60,0,0,0,0,0
340,41,1,34,8.0,1,15,951,63,0,0,1,0,0
341,41,1,34,8.0,1,15,952,29,0,0,0,0,0
342,41,1,34,8.0,1,15,981,29,3,3,0,0,0
343,41,1,34,8.0,1,15,995,99,1,1,0,0,0
344,42,8,15,6.0,0,16,161,27,2,1,1,0,0
345,42,8,15,6.0,0,16,187,18,1,2,1,1,0
346,42,8,15,6.0,0,16,279,6,0,0,1,0,0
347,42,8,15,6.0,0,16,395,4,1,3,0,0,0
348,42,8,15,6.0,0,16,488,16,1,3,1,1,1
349,42,8,15,6.0,0,16,811,25,2,1,1,0,0
350,42,8,15,6.0,0,16,935,5,3,3,0,0,0
351,42,8,15,6.0,0,16,954,15,1,1,1,0,0
352,42,8,15,6.0,0,16,974,15,1,1,1,0,0
353,43,5,5,6.0,0,16,459,5,3,2,0,0,0
354,43,5,5,6.0,0,16,470,4,0,0,0,0,0
355,43,5,5,6.0,0,16,653,5,1,1,1,0,0
356,43,5,5,6.0,0,16,799,0,3,3,1,0,0
357,44,8,21,7.0,0,17,161,46,2,1,1,0,0
358,44,8,21,7.0,0,17,187,32,1,2,1,1,0
359,44,8,21,7.0,0,17,279,12,0,0,1,0,0
360,44,8,21,7.0,0,17,395,10,1,3,0,0,0
361,44,8,21,7.0,0,17,488,42,1,3,1,1,1
362,44,8,21,7.0,0,17,811,44,2,1,1,0,0
363,44,8,21,7.0,0,17,935,9,3,3,0,0,0
364,44,8,21,7.0,0,17,954,28,1,1,1,0,0
365,44,8,21,7.0,0,17,974,24,1,1,1,0,0
366,45,1,20,7.0,0,17,367,13,3,3,0,0,0
367,45,1,20,7.0,0,17,720,40,1,2,0,0,2
368,45,1,20,7.0,0,17,831,8,0,0,1,0,0
369,45,1,20,7.0,0,17,855,30,3,3,0,0,0
370,46,2,35,9.0,1,18,7,33,0,0,0,0,0
371,46,2,35,9.0,1,18,108,34,0,0,0,0,0
372,46,2,35,9.0,1,18,164,72,3,2,1,0,0
373,46,2,35,9.0,1,18,310,84,0,0,0,0,0
374,46,2,35,9.0,1,18,370,34,3,3,0,0,0
375,46,2,35,9.0,1,18,439,62,2,1,1,0,0
376,46,2,35,9.0,1,18,483,31,0,0,0,0,0
377,46,2,35,9.0,1,18,800,34,0,0,0,0,0
378,46,2,35,9.0,1,18,915,36,1,3,1,0,0
379,46,2,35,9.0,1,18,966,32,0,0,0,0,0
380,47,2,3,9.0,0,18,131,4,1,3,1,1,0
381,47,2,3,9.0,0,18,258,3,1,3,0,0,1
382,47,2,3,9.0,0,18,265,8,1,3,0,1,0
383,47,2,3,9.0,0,18,370,4,3,3,0,0,0
384,47,2,3,9.0,0,18,418,0,2,1,1,0,0
385,47,2,3,9.0,0,18,454,1,2,1,1,0,0
386,47,2,3,9.0,0,18,609,2,1,1,1,0,0
387,47,2,3,9.0,0,18,673,3,3,3,0,0,0
388,47,2,3,9.0,0,18,710,0,1,2,0,0,0
389,47,2,3,9.0,0,18,836,2,3,3,1,0,0
390,47,2,3,9.0,0,18,915,0,1,3,1,0,0
391,48,0,38,5.0,0,19,30,80,1,2,1,0,0
392,48,0,38,5.0,0,19,83,94,3,2,0,0,0
393,48,0,38,5.0,0,19,169,43,1,3,0,0,0
394,48,0,38,5.0,0,19,283,78,0,0,1,0,0
395,48,0,38,5.0,0,19,482,38,1,3,1,0,0
396,48,0,38,5.0,0,19,507,72,2,1,0,0,0
397,48,0,38,5.0,0,19,674,73,1,2,0,0,0
398,48,0,38,5.0,0,19,679,96,1,1,1,0,0
399,48,0,38,5.0,0,19,788,94,0,0,1,0,0
400,48,0,38,5.0,0,19,867,77,0,0,1,0,0
401,49,0,1,5.0,1,19,30,0,1,2,1,0,0
402,49,0,1,5.0,1,19,77,1,1,3,0,1,0
403,49,0,1,5.0,1,19,88,0,2,1,0,0,0
404,49,0,1,5.0,1,19,166,1,2,1,0,0,0
405,49,0,1,5.0,1,19,169,2,1,3,0,0,0
406,49,0,1,5.0,1,19,212,1,3,3,0,1,0
407,49,0,1,5.0,1,19,253,1,1,3,0,1,2
408,49,0,1,5.0,1,19,346,1,1,1,1,0,0
409,49,0,1,5.0,1,19,430,1,3,3,0,0,0
410,49,0,1,5.0,1,19,465,1,1,3,1,1,0
411,49,0,1,5.0,1,19,529,0,1,3,1,0,1
412,49,0,1,5.0,1,19,625,1,3,3,1,0,0
413,49,0,1,5.0,1,19,685,0,1,3,0,0,1
414,49,0,1,5.0,1,19,918,1,1,3,1,1,0
415,50,4,21,10.0,0,20,73,33,3,3,0,0,1
416,50,4,21,10.0,0,20,114,24,2,1,1,0,0
417,50,4,21,10.0,0,20,191,22,3,2,1,0,0
418,50,4,21,10.0,0,20,281,16,2,1,1,0,0
419,50,4,21,10.0,0,20,286,16,1,2,0,0,0
420,50,4,21,10.0,0,20,677,39,1,2,0,0,0
421,50,4,21,10.0,0,20,843,47,1,3,0,0,0
422,50,4,21,10.0,0,20,987,14,1,3,1,0,0
423,51,3,21,10.0,0,20,71,45,1,3,1,1,1
424,51,3,21,10.0,0,20,162,63,1,3,1,1,0
425,51,3,21,10.0,0,20,222,50,1,3,1,0,0
426,51,3,21,10.0,0,20,359,21,1,2,0,0,0
427,51,3,21,10.0,0,20,449,32,3,3,1,0,0
428,51,3,21,10.0,0,20,579,14,1,3,0,0,0
429,51,3,21,10.0,0,20,731,22,2,1,1,0,0
430,51,3,21,10.0,0,20,827,9,3,3,1,0,0
431,51,3,21,10.0,0,20,837,57,1,3,1,1,0
432,51,3,21,10.0,0,20,853,24,1,1,1,0,0
433,51,3,21,10.0,0,20,866,50,1,3,1,1,0
434,52,2,39,5.0,1,21,7,41,0,0,0,0,0
435,52,2,39,5.0,1,21,108,44,0,0,0,0,0
436,52,2,39,5.0,1,21,164,102,3,2,1,0,0
437,52,2,39,5.0,1,21,310,105,0,0,0,0,0
438,52,2,39,5.0,1,21,439,79,2,1,1,0,0
439,52,2,39,5.0,1,21,483,42,0,0,0,0,0
440,52,2,39,5.0,1,21,800,41,0,0,0,0,0
441,52,2,39,5.0,1,21,966,39,0,0,0,0,0
442,53,2,0,5.0,1,21,131,0,1,3,1,1,0
443,53,2,0,5.0,1,21,258,0,1,3,0,0,1
444,53,2,0,5.0,1,21,265,5,1,3,0,1,0
445,53,2,0,5.0,1,21,370,3,3,3,0,0,0
446,53,2,0,5.0,1,21,418,0,2,1,1,0,0
447,53,2,0,5.0,1,21,454,0,2,1,1,0,0
448,53,2,0,5.0,1,21,609,0,1,1,1,0,0
449,53,2,0,5.0,1,21,673,0,3,3,0,0,0
450,53,2,0,5.0,1,21,710,0,1,2,0,0,0
451,53,2,0,5.0,1,21,836,0,3,3,1,0,0
452,53,2,0,5.0,1,21,915,0,1,3,1,0,0
453,54,5,39,5.0,0,22,683,105,1,1,0,0,0
454,54,5,39,5.0,0,22,852,43,3,3,1,0,0
455,55,2,0,5.0,1,22,131,0,1,3,1,1,0
456,55,2,0,5.0,1,22,258,0,1,3,0,0,1
457,55,2,0,5.0,1,22,265,5,1,3,0,1,0
458,55,2,0,5.0,1,22,370,3,3,3,0,0,0
459,55,2,0,5.0,1,22,418,0,2,1,1,0,0
460,55,2,0,5.0,1,22,454,0,2,1,1,0,0
461,55,2,0,5.0,1,22,609,0,1,1,1,0,0
462,55,2,0,5.0,1,22,673,0,3,3,0,0,0
463,55,2,0,5.0,1,22,710,0,1,2,0,0,0
